***************************************************************************************
Start Datenerfassung am:	27.06.2023 10:43:03	Messzyklus: 30 Sekunden
Begleitheizung auf 400°C
Datum	Uhrzeit	T_C_BT101_FW	T_C_BT102_FW	T_C_BT103_FW	T_C_BT104_FW	T_C_BT105_FW	T_C_BT106_FW	T_C_BT107_Steam	T_C_BT108_Condensate	T_C_BT109_Condensate	T_C_BT201_PCM_Pool	T_C_BT202_Heating	T_C_BT203_PCM_Pool	T_C_BT204_Heating	T_C_BT205_PCM_ColdTank	T_C_BT206_PCM_ColdTank	T_C_BT207_PCM_ColdTank	T_C_BT208_ScrewConveyer	T_C_BT209_ScrewConveyer	T_C_BT210_ScrewConveyer	T_C_BT211_Heating	T_C_BT212_Heating	T_C_BT213_Heating	T_C_BT214_Heating	T_C_BT215_Heating	T_C_BT216_Heating	T_C_BT217_Heating	T_C_BT218_Heating	T_C_BT219_PCM_HotTank	T_C_BT220_PCM_HotTank	T_C_BT221_PCM_HotTank	T_C_BT222_PCM_Pipe	T_C_BT223_PCM_Pipe	T_C_BT224_TraceHeating	T_C_BT225_TraceHeating	T_C_BT226_TraceHeating	T_C_BT301_CW	T_C_BT302_CW	T_C_BT303_CW	T_C_BT304_CW	T_C_BT305_CW	T_C_BT306_CW	T_C_BT307_CW	T_C_BT308_CW	pbar_BP101	pbar_BP102	pbar_BP103	sw_BP401	m_dot_kg/h_BF101	m_dot_kg/h_BF102	x___BQ101	n_Rpm_MA101	P_W_EB202-1	P_W_EB202-2	P_W_EB202-3	P_W_EB202-4	EB102_output	EB201_1_output	EB201_2_output	EB203_output	QN102_output	QN201_output	QN301_output	QM101_sw	V_Control_FeedPump_GP101	GP101_sw	GP301_sw	GP302_sw	GL201_sw	R_O_BT110_Motor	R_O_BT227_SCMotor																		
27.06.2023	10:43:03	52,000	45,100	37,700	46,700	63,000	69,500	52,900	22,800	27,600	40,700	45,100	45,400	41,700	22,300	22,100	22,100	21,400	177,200	25,700	275,900	320,100	262,300	320,000	269,800	270,100	277,800	273,800	284,900	264,700	275,900	321,500	161,700	228,300	207,000	400,000	22,800	23,600	22,100	21,800	22,500	22,200	22,200	22,400	0,969	0,991	0,974	0,000	-0,090	-0,004	-0,018	0,000	366,428	473,958	439,128	435,655	0,000	0,000	0,000	68,322	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:43:34	51,900	45,100	37,100	46,800	63,000	69,500	52,900	23,100	27,500	40,400	45,300	45,500	41,500	22,300	22,100	22,100	21,400	177,200	25,600	275,900	320,000	262,300	320,000	269,800	266,200	277,900	273,800	284,600	264,700	275,900	322,500	161,700	228,100	207,300	400,100	22,800	23,600	22,000	21,700	22,500	22,200	22,200	22,400	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	580,187	462,457	440,647	438,802	0,000	0,000	0,000	59,912	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:44:06	51,900	43,400	36,500	47,000	63,100	69,400	52,900	23,000	27,400	40,400	45,100	45,300	41,600	22,300	22,100	22,100	21,400	177,100	25,600	275,900	320,000	262,300	320,100	269,800	270,100	277,900	273,800	284,800	264,700	275,900	323,500	161,800	225,100	207,500	400,000	22,800	23,600	22,000	21,700	22,500	22,200	22,200	22,400	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	569,227	365,451	439,345	437,934	0,000	0,000	0,000	61,891	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:44:37	51,800	43,400	36,000	47,200	63,100	69,400	52,900	23,400	27,400	40,000	45,000	45,200	41,300	22,300	22,100	22,100	21,400	177,100	25,600	275,900	320,000	262,300	320,100	269,800	270,500	277,800	273,800	285,000	264,700	275,900	324,400	161,800	224,200	207,700	400,000	22,800	23,600	22,000	21,700	22,500	22,200	22,200	22,300	0,969	0,991	0,974	0,000	-0,090	-0,004	-0,014	0,000	549,696	471,680	438,151	437,826	0,000	0,000	0,000	60,482	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:45:09	51,700	46,000	35,500	47,400	63,100	69,400	52,900	23,400	27,400	39,900	45,000	45,400	41,300	22,300	22,100	22,100	21,400	177,000	25,600	275,900	320,000	262,300	320,000	269,800	269,900	277,900	273,800	284,500	264,700	275,900	325,300	161,900	221,800	207,900	400,000	22,800	23,600	22,000	21,800	22,500	22,200	22,200	22,300	0,969	0,991	0,974	0,000	-0,090	-0,004	-0,014	0,000	562,934	531,033	439,562	436,306	0,000	0,000	0,000	60,068	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:45:40	51,800	42,900	35,000	47,600	63,100	69,300	52,600	23,600	27,300	39,800	44,800	45,000	41,200	22,300	22,100	22,100	21,400	177,000	25,600	275,900	320,000	262,300	320,000	269,800	269,800	277,900	273,700	284,200	264,700	275,900	326,200	161,900	221,100	208,100	400,000	22,800	23,600	22,000	21,800	22,500	22,200	22,200	22,300	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	565,321	483,832	438,368	437,500	0,000	0,000	0,000	59,534	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:46:12	51,800	43,400	34,500	47,900	63,100	69,200	52,900	23,800	27,200	39,600	44,800	45,100	41,100	22,300	22,100	22,100	21,400	177,000	25,600	275,900	320,100	262,300	320,000	269,800	270,700	277,900	273,800	284,600	264,700	275,900	326,900	161,900	220,100	208,300	400,000	22,800	23,600	22,000	21,800	22,500	22,200	22,200	22,300	0,969	0,990	0,974	0,000	-0,090	-0,004	-0,014	0,000	511,719	346,897	439,019	436,306	0,000	0,000	0,000	58,918	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:46:43	51,600	44,300	34,100	48,100	63,000	69,200	52,600	23,800	27,100	39,800	44,800	45,000	41,100	22,300	22,100	22,100	21,300	177,000	25,600	275,900	320,000	262,400	319,900	269,800	270,600	277,900	273,800	285,300	264,700	275,900	327,700	162,000	218,700	208,400	400,000	22,800	23,600	22,000	21,800	22,500	22,200	22,200	22,300	0,969	0,991	0,974	0,000	-0,090	-0,004	-0,018	0,000	542,969	512,695	437,609	437,500	0,000	0,000	0,000	58,136	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:47:14	51,600	43,400	33,700	48,300	63,000	69,100	52,600	24,100	27,100	39,800	44,700	45,000	41,000	22,300	22,100	22,100	21,500	177,000	25,600	275,900	320,100	262,300	320,000	269,800	270,900	277,900	273,800	285,100	264,700	275,900	328,400	162,000	218,200	208,600	400,000	22,800	23,600	22,000	21,800	22,500	22,200	22,200	22,300	0,969	0,991	0,974	0,000	-0,090	-0,004	-0,014	0,000	606,120	466,254	440,647	437,500	0,000	0,000	0,000	59,864	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	10:47:46	51,400	43,000	33,200	48,600	63,000	69,000	52,500	24,300	27,000	39,600	44,600	44,800	41,000	22,300	22,100	22,100	21,500	176,900	25,600	275,900	320,000	262,300	320,000	269,800	270,900	277,900	273,800	285,000	264,700	275,900	329,100	162,100	215,900	208,700	400,000	22,800	23,600	22,000	21,800	22,500	22,100	22,200	22,300	0,969	0,991	0,974	0,000	-0,090	-0,004	-0,018	0,000	571,832	477,105	437,717	438,802	0,000	0,000	0,000	57,086	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
