***************************************************************************************
Start Datenerfassung am:	27.06.2023 09:32:45	Messzyklus: 1 Sekunden
1. Versuch
Datum	Uhrzeit	T_C_BT101_FW	T_C_BT102_FW	T_C_BT103_FW	T_C_BT104_FW	T_C_BT105_FW	T_C_BT106_FW	T_C_BT107_Steam	T_C_BT108_Condensate	T_C_BT109_Condensate	T_C_BT201_PCM_Pool	T_C_BT202_Heating	T_C_BT203_PCM_Pool	T_C_BT204_Heating	T_C_BT205_PCM_ColdTank	T_C_BT206_PCM_ColdTank	T_C_BT207_PCM_ColdTank	T_C_BT208_ScrewConveyer	T_C_BT209_ScrewConveyer	T_C_BT210_ScrewConveyer	T_C_BT211_Heating	T_C_BT212_Heating	T_C_BT213_Heating	T_C_BT214_Heating	T_C_BT215_Heating	T_C_BT216_Heating	T_C_BT217_Heating	T_C_BT218_Heating	T_C_BT219_PCM_HotTank	T_C_BT220_PCM_HotTank	T_C_BT221_PCM_HotTank	T_C_BT222_PCM_Pipe	T_C_BT223_PCM_Pipe	T_C_BT224_TraceHeating	T_C_BT225_TraceHeating	T_C_BT226_TraceHeating	T_C_BT301_CW	T_C_BT302_CW	T_C_BT303_CW	T_C_BT304_CW	T_C_BT305_CW	T_C_BT306_CW	T_C_BT307_CW	T_C_BT308_CW	pbar_BP101	pbar_BP102	pbar_BP103	sw_BP401	m_dot_kg/h_BF101	m_dot_kg/h_BF102	x___BQ101	n_Rpm_MA101	P_W_EB202-1	P_W_EB202-2	P_W_EB202-3	P_W_EB202-4	EB102_output	EB201_1_output	EB201_2_output	EB203_output	QN102_output	QN201_output	QN301_output	QM101_sw	V_Control_FeedPump_GP101	GP101_sw	GP301_sw	GP302_sw	GL201_sw	R_O_BT110_Motor	R_O_BT227_SCMotor																		
27.06.2023	09:32:45	41,100	33,300	42,000	146,000	91,100	98,000	75,400	21,800	69,700	27,200	27,400	28,200	25,800	21,900	21,600	21,700	21,100	178,200	25,100	275,000	329,900	261,500	330,100	269,300	270,600	276,900	272,900	291,600	264,000	274,800	288,600	150,100	160,400	185,400	345,000	23,000	52,400	21,700	21,100	22,400	22,000	22,300	22,400	1,268	1,015	0,998	0,000	179,814	-0,004	-0,014	0,000	696,940	513,997	584,418	580,946	90,000	0,000	0,000	32,181	0,000	0,000	0,000	1,000	2,992	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	09:32:46	41,100	33,200	42,000	146,000	91,100	98,000	75,000	21,800	69,500	27,200	27,400	28,200	25,800	21,900	21,600	21,700	21,100	178,200	25,100	275,000	329,900	261,500	330,000	269,300	270,600	276,900	272,900	291,500	264,000	274,900	288,600	150,100	160,400	185,400	345,000	23,000	52,400	21,700	21,100	22,400	22,000	22,200	22,400	1,358	1,028	0,996	0,000	179,561	-0,004	-0,014	0,000	689,128	512,695	585,286	584,961	90,000	0,000	0,000	32,181	0,000	0,000	0,000	1,000	3,001	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	09:32:47	41,100	33,200	42,000	146,100	91,200	98,100	75,900	21,800	69,300	27,200	27,400	28,100	25,800	21,900	21,600	21,700	21,100	178,200	25,100	275,000	329,800	261,500	330,000	269,300	270,600	276,900	272,900	291,600	264,000	274,800	288,600	150,100	160,300	185,400	345,000	23,000	52,500	21,700	21,100	22,400	22,000	22,200	22,400	1,313	1,039	0,996	0,000	180,067	-0,004	-0,014	0,000	689,670	629,666	587,565	580,404	90,000	0,000	0,000	32,181	0,000	0,000	0,000	1,000	2,986	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	09:32:48	41,100	33,200	42,000	146,100	91,200	98,100	75,700	21,800	69,300	27,200	27,400	28,100	25,800	21,900	21,600	21,700	21,000	178,200	25,200	275,000	329,800	261,500	329,900	269,400	270,600	276,900	272,900	291,600	264,000	274,800	288,600	150,100	160,200	185,400	345,000	23,000	52,500	21,700	21,100	22,400	22,000	22,200	22,400	1,321	1,049	0,996	0,000	180,158	-0,004	-0,014	0,000	901,910	626,736	582,574	582,248	90,000	0,000	0,000	32,181	0,000	0,000	0,000	1,000	2,983	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	09:32:49	41,100	33,300	42,000	146,300	91,200	98,200	76,300	21,800	69,200	27,200	27,400	28,100	25,800	21,900	21,600	21,700	21,000	178,200	25,200	275,100	329,800	261,500	329,900	269,300	270,600	276,900	272,900	291,700	264,000	274,800	288,600	150,100	160,100	185,400	345,000	23,000	52,600	21,700	21,100	22,400	22,000	22,300	22,400	1,322	1,045	0,996	0,000	179,597	-0,004	-0,014	0,000	766,710	726,128	587,131	582,357	90,000	0,000	0,000	32,181	0,000	0,000	0,000	1,000	3,075	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	09:32:50	41,100	33,400	42,000	146,300	91,200	98,400	77,000	21,800	69,500	27,200	27,400	28,100	25,800	21,900	21,600	21,700	21,000	178,200	25,200	275,100	329,800	261,500	329,900	269,300	270,600	276,900	272,900	291,900	264,000	274,800	288,600	150,100	160,100	185,400	345,000	23,000	52,700	21,700	21,100	22,400	22,000	22,200	22,400	1,324	1,043	0,997	0,000	180,067	-0,004	-0,014	0,000	757,704	651,259	585,178	585,395	90,000	0,000	0,000	32,181	0,000	0,000	0,000	1,000	2,989	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	09:32:51	41,100	33,200	42,100	146,100	91,200	98,400	77,500	21,800	69,600	27,200	27,400	28,100	25,800	21,900	21,600	21,700	21,100	178,200	25,200	275,100	329,900	261,600	329,900	269,300	270,600	276,900	272,900	292,000	264,000	274,800	288,600	150,100	160,300	185,400	345,000	23,000	52,700	21,700	21,100	22,400	22,000	22,300	22,400	1,286	1,011	0,997	0,000	180,013	0,000	-0,014	0,000	665,799	597,005	586,480	582,682	90,000	0,000	0,000	32,181	0,000	0,000	0,000	1,000	2,993	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	09:32:52	41,100	33,200	42,100	145,900	91,200	98,400	77,900	21,800	69,800	27,200	27,400	28,100	25,800	21,900	21,600	21,700	21,000	178,200	25,200	275,100	329,900	261,600	329,900	269,300	270,600	276,900	272,900	291,900	264,000	274,800	288,600	150,100	160,400	185,400	345,000	23,000	52,800	21,700	21,100	22,400	22,000	22,200	22,400	1,319	1,032	0,997	0,000	180,284	0,000	-0,014	0,000	656,901	587,674	586,155	584,201	90,000	0,000	0,000	32,181	0,000	0,000	0,000	1,000	2,955	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	09:32:53	41,200	33,300	42,200	145,900	91,200	98,400	78,000	21,800	69,900	27,200	27,400	28,100	25,800	21,900	21,600	21,700	21,100	178,200	25,200	275,100	330,000	261,600	329,900	269,300	270,600	276,900	272,900	291,900	264,000	274,800	288,600	150,100	160,700	185,400	345,000	23,000	52,900	21,700	21,100	22,400	22,000	22,200	22,400	1,333	1,041	0,997	0,000	180,212	-0,004	-0,014	0,000	708,442	585,395	583,116	585,069	90,000	0,000	0,000	32,181	0,000	0,000	0,000	1,000	2,983	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	09:32:54	41,100	33,400	42,200	145,500	91,200	98,500	78,200	21,800	69,800	27,100	27,400	28,100	25,800	21,900	21,600	21,700	21,000	178,200	25,200	275,200	330,100	261,600	329,900	269,400	270,600	276,900	272,900	291,900	264,000	274,800	288,600	150,100	160,600	185,400	345,000	23,000	53,000	21,700	21,100	22,400	22,000	22,200	22,400	1,342	1,045	0,996	0,000	180,013	-0,004	-0,014	0,000	522,027	585,612	586,914	582,682	90,000	0,000	0,000	32,181	0,000	0,000	0,000	1,000	2,987	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
27.06.2023	09:32:55	41,100	33,600	42,200	145,900	91,200	98,600	78,200	21,800	69,700	27,100	27,400	28,100	25,800	21,900	21,600	21,700	21,000	178,200	25,300	275,100	330,100	261,600	330,000	269,400	270,600	276,900	272,900	291,700	264,000	274,800	288,600	150,100	160,500	185,400	345,000	23,000	53,100	21,700	21,100	22,400	22,000	22,200	22,400	1,330	1,044	0,996	0,000	179,923	-0,004	-0,014	0,000	509,874	584,093	586,480	583,333	90,000	0,000	0,000	32,181	0,000	0,000	0,000	1,000	2,993	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
