***************************************************************************************
Start Datenerfassung am:	28.06.2023 18:09:32	Messzyklus: 30 Sekunden
Nachtaufzeichnung
Datum	Uhrzeit	T_C_BT101_FW	T_C_BT102_FW	T_C_BT103_FW	T_C_BT104_FW	T_C_BT105_FW	T_C_BT106_FW	T_C_BT107_Steam	T_C_BT108_Condensate	T_C_BT109_Condensate	T_C_BT201_PCM_Pool	T_C_BT202_Heating	T_C_BT203_PCM_Pool	T_C_BT204_Heating	T_C_BT205_PCM_ColdTank	T_C_BT206_PCM_ColdTank	T_C_BT207_PCM_ColdTank	T_C_BT208_ScrewConveyer	T_C_BT209_ScrewConveyer	T_C_BT210_ScrewConveyer	T_C_BT211_Heating	T_C_BT212_Heating	T_C_BT213_Heating	T_C_BT214_Heating	T_C_BT215_Heating	T_C_BT216_Heating	T_C_BT217_Heating	T_C_BT218_Heating	T_C_BT219_PCM_HotTank	T_C_BT220_PCM_HotTank	T_C_BT221_PCM_HotTank	T_C_BT222_PCM_Pipe	T_C_BT223_PCM_Pipe	T_C_BT224_TraceHeating	T_C_BT225_TraceHeating	T_C_BT226_TraceHeating	T_C_BT301_CW	T_C_BT302_CW	T_C_BT303_CW	T_C_BT304_CW	T_C_BT305_CW	T_C_BT306_CW	T_C_BT307_CW	T_C_BT308_CW	pbar_BP101	pbar_BP102	pbar_BP103	sw_BP401	m_dot_kg/h_BF101	m_dot_kg/h_BF102	x___BQ101	n_Rpm_MA101	P_W_EB202-1	P_W_EB202-2	P_W_EB202-3	P_W_EB202-4	EB102_output	EB201_1_output	EB201_2_output	EB203_output	QN102_output	QN201_output	QN301_output	QM101_sw	V_Control_FeedPump_GP101	GP101_sw	GP301_sw	GP302_sw	GL201_sw	R_O_BT110_Motor	R_O_BT227_SCMotor																		
28.06.2023	18:09:32	28,600	29,300	22,100	26,300	27,800	26,700	38,100	20,500	22,000	27,900	29,600	28,300	27,400	22,500	22,400	22,400	21,600	188,900	26,200	304,400	334,900	291,300	335,100	298,500	298,800	305,300	301,800	303,400	293,400	303,700	239,300	225,100	286,300	273,700	475,000	23,000	22,500	22,000	21,800	22,100	22,100	21,600	22,000	0,926	0,954	0,967	0,000	-0,090	-0,004	-0,014	0,000	538,303	374,457	469,835	465,929	0,000	0,000	0,000	57,032	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
28.06.2023	18:10:04	28,600	29,300	22,100	26,300	27,800	26,700	38,100	20,400	22,000	27,800	29,700	28,200	27,400	22,400	22,400	22,400	21,600	188,900	26,100	304,400	335,100	291,300	335,000	298,500	298,800	305,400	301,700	303,700	293,400	303,700	239,200	225,100	286,000	273,700	475,000	23,000	22,500	22,000	21,800	22,100	22,100	21,600	22,000	0,926	0,955	0,967	0,000	-0,090	-0,004	-0,014	0,000	674,262	403,429	467,773	468,424	0,000	0,000	0,000	57,346	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
28.06.2023	18:10:35	28,600	29,200	22,100	26,300	27,800	26,700	38,100	20,500	22,000	27,800	29,700	28,300	27,400	22,500	22,400	22,400	21,600	188,900	26,000	304,400	335,000	291,200	334,900	298,600	298,900	305,300	301,800	303,900	293,400	303,700	239,300	225,100	286,400	273,700	475,000	23,000	22,500	22,000	21,800	22,100	22,100	21,600	22,000	0,926	0,955	0,967	0,000	-0,090	-0,004	-0,014	0,000	599,501	487,956	470,052	466,363	0,000	0,000	0,000	57,346	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
28.06.2023	18:11:07	28,600	29,200	22,100	26,200	27,700	26,700	38,000	20,500	22,000	27,600	29,600	28,200	27,400	22,500	22,400	22,400	21,500	188,900	26,100	304,400	335,000	291,300	335,100	298,500	298,800	305,300	301,700	303,500	293,400	303,700	239,200	225,200	286,400	273,700	475,000	23,000	22,500	22,000	21,800	22,100	22,100	21,600	22,000	0,926	0,954	0,968	0,000	-0,090	-0,004	-0,014	0,000	571,181	366,102	466,688	465,495	0,000	0,000	0,000	57,346	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
28.06.2023	18:11:38	28,600	29,200	22,100	26,200	27,700	26,700	38,100	20,400	22,000	27,700	29,600	28,100	27,400	22,400	22,400	22,400	21,500	188,900	26,100	304,400	335,000	291,300	334,900	298,500	298,800	305,300	301,800	303,800	293,400	303,700	239,300	225,100	286,700	273,700	475,000	23,000	22,500	22,000	21,800	22,100	22,100	21,600	22,000	0,926	0,955	0,967	0,000	-0,090	-0,004	-0,014	0,000	468,858	550,781	464,627	465,929	0,000	0,000	0,000	57,346	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
28.06.2023	18:12:10	28,600	29,200	22,100	26,200	27,700	26,700	38,100	20,200	22,000	27,600	29,600	28,200	27,400	22,500	22,400	22,400	21,500	188,900	26,100	304,400	334,900	291,300	335,100	298,500	298,800	305,300	301,800	303,900	293,400	303,700	239,300	225,200	286,600	273,700	475,000	23,000	22,500	22,000	21,800	22,100	22,100	21,700	22,000	0,926	0,955	0,967	0,000	-0,090	-0,004	-0,014	0,000	503,798	363,498	468,642	466,146	0,000	0,000	0,000	57,346	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
28.06.2023	18:12:41	28,600	29,200	22,100	26,200	27,700	26,700	38,000	20,500	22,000	27,600	29,600	28,100	27,400	22,400	22,400	22,400	21,500	188,800	26,100	304,400	334,900	291,300	334,800	298,500	298,800	305,300	301,800	303,100	293,400	303,700	239,300	225,100	286,700	273,700	475,000	23,000	22,500	22,000	21,800	22,100	22,100	21,700	22,000	0,926	0,955	0,968	0,000	-0,090	-0,004	-0,014	0,000	557,726	445,204	468,533	465,929	0,000	0,000	0,000	57,130	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
28.06.2023	18:13:13	28,600	29,200	22,100	26,200	27,700	26,700	38,000	20,300	22,000	27,600	29,600	28,000	27,400	22,400	22,400	22,400	21,500	188,800	26,100	304,400	335,100	291,300	335,000	298,500	298,800	305,300	301,800	303,700	293,400	303,700	239,300	225,100	286,700	273,700	475,000	23,000	22,500	22,000	21,800	22,100	22,100	21,700	22,000	0,926	0,955	0,967	0,000	-0,090	-0,004	-0,014	0,000	357,747	409,397	468,642	464,193	0,000	0,000	0,000	57,041	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
28.06.2023	18:13:44	28,600	29,200	22,100	26,200	27,700	26,700	38,000	20,500	22,000	27,600	29,600	28,200	27,400	22,400	22,400	22,400	21,500	188,800	26,100	304,400	334,900	291,300	335,100	298,600	298,900	305,300	301,800	303,700	293,400	303,700	239,300	225,200	286,500	273,700	475,000	23,000	22,500	22,000	21,800	22,100	22,100	21,700	22,000	0,926	0,955	0,967	0,000	-0,090	-0,004	-0,014	0,000	556,858	367,188	469,835	464,518	0,000	0,000	0,000	57,041	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
28.06.2023	18:14:15	28,600	29,200	22,100	26,200	27,600	26,700	38,000	20,400	22,000	27,800	29,600	28,300	27,400	22,400	22,400	22,400	21,500	188,800	26,200	304,400	335,000	291,300	335,000	298,500	298,800	305,300	301,800	303,500	293,400	303,700	239,300	225,100	286,600	273,700	475,000	23,000	22,500	22,000	21,800	22,100	22,100	21,700	22,000	0,926	0,955	0,967	0,000	-0,090	-0,004	-0,014	0,000	358,832	392,361	469,510	465,820	0,000	0,000	0,000	56,763	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
