***************************************************************************************
Start Datenerfassung am:	04.07.2023 18:32:57	Messzyklus: 30 Sekunden
Temperatur Halten in Becken
Datum	Uhrzeit	T_C_BT101_FW	T_C_BT102_FW	T_C_BT103_FW	T_C_BT104_FW	T_C_BT105_FW	T_C_BT106_FW	T_C_BT107_Steam	T_C_BT108_Condensate	T_C_BT109_Condensate	T_C_BT201_PCM_Pool	T_C_BT202_Heating	T_C_BT203_PCM_Pool	T_C_BT204_Heating	T_C_BT205_PCM_ColdTank	T_C_BT206_PCM_ColdTank	T_C_BT207_PCM_ColdTank	T_C_BT208_ScrewConveyer	T_C_BT209_ScrewConveyer	T_C_BT210_ScrewConveyer	T_C_BT211_Heating	T_C_BT212_Heating	T_C_BT213_Heating	T_C_BT214_Heating	T_C_BT215_Heating	T_C_BT216_Heating	T_C_BT217_Heating	T_C_BT218_Heating	T_C_BT219_PCM_HotTank	T_C_BT220_PCM_HotTank	T_C_BT221_PCM_HotTank	T_C_BT222_PCM_Pipe	T_C_BT223_PCM_Pipe	T_C_BT224_TraceHeating	T_C_BT225_TraceHeating	T_C_BT226_TraceHeating	T_C_BT301_CW	T_C_BT302_CW	T_C_BT303_CW	T_C_BT304_CW	T_C_BT305_CW	T_C_BT306_CW	T_C_BT307_CW	T_C_BT308_CW	pbar_BP101	pbar_BP102	pbar_BP103	sw_BP401	m_dot_kg/h_BF101	m_dot_kg/h_BF102	x___BQ101	n_Rpm_MA101	P_W_EB202-1	P_W_EB202-2	P_W_EB202-3	P_W_EB202-4	EB102_output	EB201_1_output	EB201_2_output	EB203_output	QN102_output	QN201_output	QN301_output	QM101_sw	V_Control_FeedPump_GP101	GP101_sw	GP301_sw	GP302_sw	GL201_sw	R_O_BT110_Motor	R_O_BT227_SCMotor																		
04.07.2023	18:32:57	29,200	29,800	23,100	28,400	32,000	42,400	98,700	26,700	23,900	227,400	230,100	209,500	230,100	32,600	33,200	33,000	76,500	130,000	27,500	258,900	300,000	254,800	299,900	256,400	255,400	257,600	256,300	266,200	253,800	257,000	255,000	257,700	317,400	311,600	450,000	23,800	23,000	23,600	23,400	20,200	19,900	18,600	19,700	0,966	0,982	0,973	0,000	-0,090	-0,004	-0,018	0,000	551,758	492,405	366,102	365,126	0,000	51,281	28,380	75,455	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
04.07.2023	18:33:28	29,200	29,800	23,100	28,400	32,000	42,400	98,700	26,400	23,900	226,500	230,000	208,700	230,000	32,700	33,400	33,000	76,300	130,300	27,500	259,000	300,000	254,800	300,000	256,400	255,500	257,700	256,300	265,900	253,800	257,000	255,000	257,700	317,700	311,600	450,000	23,800	23,000	23,600	23,400	20,200	19,900	18,600	19,700	0,966	0,982	0,973	0,000	-0,090	-0,011	-0,018	0,000	552,626	451,497	366,536	365,017	0,000	52,118	23,534	75,856	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
04.07.2023	18:33:58	29,200	29,800	23,000	28,400	32,000	42,400	98,700	26,300	23,900	227,800	229,600	208,400	230,000	32,700	33,300	33,000	76,100	130,500	27,600	259,000	300,000	254,800	300,000	256,400	255,500	257,700	256,400	266,200	253,800	257,100	255,000	257,700	317,300	311,600	450,000	23,800	23,000	23,600	23,400	20,200	19,900	18,700	19,700	0,966	0,983	0,973	0,000	-0,090	-0,004	-0,018	0,000	541,124	413,737	364,800	364,583	0,000	55,290	27,196	75,856	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
04.07.2023	18:34:29	29,200	29,700	23,000	28,400	32,000	42,300	98,700	26,400	23,900	227,200	230,500	207,800	230,100	32,800	33,200	33,000	76,000	130,800	27,500	259,000	300,000	254,800	300,000	256,400	255,500	257,800	256,400	265,800	253,900	257,100	255,000	257,800	317,000	311,600	450,000	23,800	23,000	23,600	23,400	20,200	19,900	18,700	19,700	0,966	0,982	0,973	0,000	-0,090	-0,011	-0,018	0,000	565,213	451,063	365,017	365,017	0,000	50,369	25,662	75,623	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
04.07.2023	18:35:00	29,200	29,700	23,000	28,400	31,900	42,300	98,700	26,600	23,900	226,300	230,700	207,600	230,100	32,900	33,200	33,000	75,800	131,100	27,600	259,000	300,000	254,800	300,000	256,400	255,600	257,800	256,400	266,500	253,900	257,100	255,100	257,800	317,500	311,600	450,000	23,800	23,000	23,600	23,400	20,200	19,900	18,700	19,800	0,966	0,982	0,973	0,000	-0,090	-0,011	-0,018	0,000	552,300	453,885	366,862	364,692	0,000	42,706	24,517	78,705	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
04.07.2023	18:35:31	29,200	29,700	23,000	28,400	31,900	42,200	98,700	26,600	23,900	226,400	229,400	207,000	230,300	32,600	33,000	33,000	75,500	131,400	27,400	259,100	300,000	254,800	300,000	256,400	255,500	257,800	256,400	266,200	253,900	257,100	255,100	257,800	317,300	311,600	450,000	23,800	23,000	23,600	23,400	20,200	19,900	18,700	19,800	0,966	0,982	0,973	0,000	-0,090	-0,004	-0,018	0,000	550,998	456,163	365,451	364,258	0,000	56,808	20,704	75,711	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
04.07.2023	18:36:02	29,200	29,700	23,000	28,300	31,900	42,200	98,700	26,500	23,900	226,500	229,600	206,800	230,300	32,700	33,200	32,900	75,400	131,700	27,500	259,100	300,000	254,800	300,100	256,400	255,600	257,900	256,400	266,200	253,900	257,200	255,000	257,800	317,400	311,600	450,000	23,800	23,000	23,600	23,400	20,200	19,900	18,700	19,800	0,966	0,982	0,973	0,000	-0,090	-0,004	-0,018	0,000	551,432	369,683	364,800	364,258	0,000	56,694	25,779	76,272	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
04.07.2023	18:36:32	29,200	29,700	23,000	28,300	31,900	42,100	98,700	26,400	23,900	226,800	228,800	206,500	229,700	32,500	33,100	32,700	75,200	132,000	27,400	259,100	300,000	254,900	300,100	256,400	255,600	257,900	256,500	265,800	253,900	257,200	255,100	257,800	317,000	311,600	450,000	23,800	23,000	23,600	23,400	20,200	20,000	18,700	19,800	0,965	0,982	0,973	0,000	-0,090	-0,004	-0,018	0,000	553,494	299,479	365,234	365,017	0,000	66,370	30,945	75,848	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
04.07.2023	18:37:03	29,200	29,700	23,000	28,300	31,900	42,100	98,700	26,400	23,900	226,400	231,200	206,000	229,700	32,400	32,900	32,700	75,100	132,300	27,500	259,100	300,000	254,800	300,000	256,400	255,600	257,900	256,400	265,600	253,900	257,200	255,000	257,800	317,200	311,600	450,000	23,800	23,000	23,600	23,400	20,200	20,000	18,700	19,800	0,966	0,982	0,973	0,000	-0,090	-0,004	-0,018	0,000	552,734	453,668	366,536	363,715	0,000	47,982	25,873	75,652	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
04.07.2023	18:37:34	29,200	29,700	23,000	28,300	31,900	42,000	98,700	26,200	23,900	227,500	230,500	205,500	230,200	32,400	32,700	32,600	74,800	132,600	27,400	259,100	300,000	254,800	300,000	256,500	255,700	257,900	256,500	266,000	253,900	257,200	255,100	257,800	317,200	311,600	449,900	23,800	23,000	23,600	23,400	20,200	20,000	18,700	19,800	0,966	0,982	0,973	0,000	-0,090	-0,004	-0,018	0,000	555,013	460,938	365,017	365,126	0,000	47,748	27,286	77,559	0,000	0,000	0,000	1,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
