***************************************************************************************
Start Datenerfassung am:	12.07.2023 09:57:15	Messzyklus: 1 Sekunden
Versuch 7 Schaber ca. 15°
Datum	Uhrzeit	T_C_BT101_FW	T_C_BT102_FW	T_C_BT103_FW	T_C_BT104_FW	T_C_BT105_FW	T_C_BT106_FW	T_C_BT107_Steam	T_C_BT108_Condensate	T_C_BT109_Condensate	T_C_BT201_PCM_Pool	T_C_BT202_Heating	T_C_BT203_PCM_Pool	T_C_BT204_Heating	T_C_BT205_PCM_ColdTank	T_C_BT206_PCM_ColdTank	T_C_BT207_PCM_ColdTank	T_C_BT208_ScrewConveyer	T_C_BT209_ScrewConveyer	T_C_BT210_ScrewConveyer	T_C_BT211_Heating	T_C_BT212_Heating	T_C_BT213_Heating	T_C_BT214_Heating	T_C_BT215_Heating	T_C_BT216_Heating	T_C_BT217_Heating	T_C_BT218_Heating	T_C_BT219_PCM_HotTank	T_C_BT220_PCM_HotTank	T_C_BT221_PCM_HotTank	T_C_BT222_PCM_Pipe	T_C_BT223_PCM_Pipe	T_C_BT224_TraceHeating	T_C_BT225_TraceHeating	T_C_BT226_TraceHeating	T_C_BT301_CW	T_C_BT302_CW	T_C_BT303_CW	T_C_BT304_CW	T_C_BT305_CW	T_C_BT306_CW	T_C_BT307_CW	T_C_BT308_CW	pbar_BP101	pbar_BP102	pbar_BP103	sw_BP401	m_dot_kg/h_BF101	m_dot_kg/h_BF102	x___BQ101	n_Rpm_MA101	P_W_EB202-1	P_W_EB202-2	P_W_EB202-3	P_W_EB202-4	EB102_output	EB201_1_output	EB201_2_output	EB203_output	QN102_output	QN201_output	QN301_output	QM101_sw	V_Control_FeedPump_GP101	GP101_sw	GP301_sw	GP302_sw	GL201_sw	PTC_BT110_Motor	PTC_BT227_SCMotor	F___BL201																	
12.07.2023	09:57:15	23,000	23,400	23,100	23,400	23,800	26,300	91,700	22,500	25,800	243,200	250,400	209,200	244,800	24,900	25,100	25,500	22,600	167,900	26,600	268,100	300,000	261,800	300,000	264,800	264,300	268,100	265,900	270,800	261,500	266,900	255,200	256,200	317,300	310,600	449,900	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,113	0,985	0,975	0,000	20,038	-0,043	99,949	0,000	446,289	382,378	365,777	365,126	0,000	87,844	100,000	78,751	100,000	0,000	0,000	1,000	1,953	1,000	0,000	0,000	0,000	0,000	0,000	33,568
12.07.2023	09:57:16	23,000	23,400	23,100	23,400	23,800	26,300	91,700	22,500	25,800	243,200	250,500	209,700	244,800	24,900	25,100	25,500	22,600	167,900	26,600	268,100	300,000	261,800	300,000	264,800	264,300	268,000	265,900	270,800	261,500	266,900	255,200	256,200	317,400	310,600	449,900	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,123	0,985	0,975	0,000	20,001	-0,043	99,949	0,000	445,530	380,208	365,777	365,126	0,000	86,573	100,000	78,751	100,000	0,000	0,000	1,000	1,959	1,000	0,000	0,000	0,000	0,000	0,000	33,568
12.07.2023	09:57:17	23,000	23,400	23,100	23,400	23,800	26,300	91,700	22,500	25,800	243,200	250,900	210,200	244,800	24,900	25,100	25,500	22,600	167,900	26,600	268,100	300,000	261,800	299,900	264,800	264,500	268,000	265,900	270,700	261,700	266,900	255,200	256,200	317,300	310,600	449,900	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,103	0,985	0,975	0,000	20,001	-0,043	99,942	0,000	446,832	383,464	364,800	363,173	0,000	83,753	100,000	78,828	100,000	0,000	0,000	1,000	1,954	1,000	0,000	0,000	0,000	0,000	0,000	33,565
12.07.2023	09:57:18	23,000	23,400	23,100	23,400	23,800	26,300	91,700	22,500	25,800	243,000	251,300	207,800	244,700	24,900	25,100	25,500	22,600	167,900	26,600	268,100	300,000	261,800	299,900	264,800	264,300	268,000	265,900	270,600	261,500	266,900	255,200	256,200	317,300	310,600	449,900	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,121	0,985	0,975	0,000	20,038	-0,043	99,949	0,000	447,049	552,626	364,366	365,017	0,000	82,959	100,000	78,895	100,000	0,000	0,000	1,000	1,953	1,000	0,000	0,000	0,000	0,000	0,000	33,568
12.07.2023	09:57:19	23,000	23,400	23,100	23,400	23,800	26,300	91,700	22,500	25,800	242,900	251,400	208,300	244,800	24,900	25,100	25,500	22,600	167,900	26,600	268,100	300,000	261,800	299,900	264,800	264,300	268,000	265,900	270,600	261,500	266,900	255,200	256,200	317,400	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,118	0,985	0,975	0,000	20,001	-0,043	99,942	0,000	447,049	453,668	367,188	365,126	0,000	81,700	100,000	67,383	100,000	0,000	0,000	1,000	1,957	1,000	0,000	0,000	0,000	0,000	0,000	33,558
12.07.2023	09:57:20	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,000	251,500	204,200	244,900	24,900	25,100	25,400	22,600	167,900	26,600	268,100	300,000	261,900	299,900	264,800	264,300	268,000	265,900	270,600	261,500	266,900	255,200	256,400	317,400	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,122	0,985	0,975	0,000	20,092	-0,043	99,942	0,000	446,832	425,130	364,475	364,692	0,000	81,210	100,000	75,117	100,000	0,000	0,000	1,000	1,952	1,000	0,000	0,000	0,000	0,000	0,000	33,558
12.07.2023	09:57:21	23,000	23,400	23,100	23,400	23,800	26,300	91,700	22,500	25,800	243,100	251,400	204,200	244,900	24,900	25,100	25,400	22,600	167,900	26,600	268,100	300,000	261,900	299,900	264,800	264,500	268,000	265,900	270,600	261,700	266,900	255,200	256,400	317,500	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,114	0,985	0,975	0,000	19,947	-0,043	99,949	0,000	444,987	425,130	365,451	365,017	0,000	82,731	100,000	76,919	100,000	0,000	0,000	1,000	1,956	1,000	0,000	0,000	0,000	0,000	0,000	33,554
12.07.2023	09:57:22	23,000	23,400	23,100	23,400	23,800	26,300	91,700	22,500	25,800	243,100	251,300	204,200	245,000	24,900	25,100	25,400	22,600	167,900	26,600	268,100	300,000	261,900	299,900	264,800	264,300	268,000	265,900	270,600	261,500	266,900	255,200	256,200	317,600	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,119	0,985	0,975	0,000	19,965	-0,043	99,949	0,000	445,747	422,852	367,296	362,956	0,000	84,678	100,000	77,087	100,000	0,000	0,000	1,000	1,955	1,000	0,000	0,000	0,000	0,000	0,000	33,554
12.07.2023	09:57:23	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,100	250,800	203,300	245,100	24,900	25,100	25,400	22,600	167,900	26,600	268,100	300,000	261,900	300,000	264,800	264,300	268,000	265,900	270,500	261,500	266,900	255,200	256,200	317,600	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,115	0,985	0,975	0,000	20,092	-0,043	99,949	0,000	444,987	413,411	364,800	363,173	0,000	90,359	100,000	77,099	100,000	0,000	0,000	1,000	1,952	1,000	0,000	0,000	0,000	0,000	0,000	33,554
12.07.2023	09:57:24	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,200	250,100	207,300	245,300	24,900	25,100	25,400	22,600	167,900	26,600	268,000	300,000	261,900	300,000	264,800	264,400	268,000	265,900	270,600	261,500	266,800	255,200	256,200	317,500	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,102	0,985	0,975	0,000	19,965	-0,043	99,942	0,000	446,181	248,698	364,909	365,017	0,000	95,615	100,000	77,103	100,000	0,000	0,000	1,000	1,956	1,000	0,000	0,000	0,000	0,000	0,000	33,554
12.07.2023	09:57:25	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,200	249,200	202,000	245,200	24,900	25,100	25,400	22,600	167,900	26,700	268,000	300,000	261,900	300,000	264,800	264,400	268,100	265,900	270,600	261,500	266,800	255,200	256,200	317,500	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,115	0,985	0,975	0,000	20,020	-0,043	99,942	0,000	448,025	353,299	366,319	365,560	0,000	100,000	100,000	77,103	100,000	0,000	0,000	1,000	1,945	1,000	0,000	0,000	0,000	0,000	0,000	33,554
12.07.2023	09:57:26	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,300	248,400	202,900	245,000	24,900	25,100	25,400	22,600	167,900	26,700	268,000	300,000	261,900	300,000	264,800	264,400	268,100	265,900	270,600	261,500	266,800	255,200	256,200	317,600	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,110	0,985	0,975	0,000	20,001	-0,043	99,942	0,000	445,421	381,944	366,645	364,800	0,000	100,000	100,000	77,103	100,000	0,000	0,000	1,000	1,955	1,000	0,000	0,000	0,000	0,000	0,000	33,550
12.07.2023	09:57:27	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,300	248,000	202,700	245,100	24,900	25,100	25,400	22,600	167,900	26,700	268,000	300,000	261,900	300,000	264,800	264,500	268,100	265,900	270,600	261,700	266,800	255,200	256,200	317,700	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,120	0,985	0,975	0,000	20,001	-0,043	99,942	0,000	447,049	390,082	367,947	366,319	0,000	100,000	100,000	77,103	100,000	0,000	0,000	1,000	1,955	1,000	0,000	0,000	0,000	0,000	0,000	33,550
12.07.2023	09:57:28	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,300	248,400	201,200	245,200	24,900	25,100	25,400	22,600	167,900	26,700	268,000	300,000	261,900	300,000	264,800	264,300	268,100	265,900	270,600	261,500	266,800	255,200	256,200	317,700	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,106	0,986	0,975	0,000	19,965	-0,043	99,949	0,000	348,850	355,035	364,800	362,739	0,000	91,387	100,000	77,103	100,000	0,000	0,000	1,000	1,966	1,000	0,000	0,000	0,000	0,000	0,000	33,539
12.07.2023	09:57:29	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,300	249,100	200,700	245,600	24,900	25,100	25,400	22,600	167,900	26,700	268,000	300,000	261,900	300,000	264,800	264,500	268,000	265,900	270,400	261,700	266,800	255,200	256,200	317,800	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,119	0,985	0,975	0,000	20,020	-0,043	99,942	0,000	477,648	403,537	364,583	364,149	0,000	90,793	100,000	77,103	100,000	0,000	0,000	1,000	1,955	1,000	0,000	0,000	0,000	0,000	0,000	33,536
12.07.2023	09:57:30	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,000	249,000	203,700	245,400	24,900	25,100	25,400	22,600	167,900	26,600	268,000	300,000	261,900	300,000	264,800	264,300	268,000	265,900	270,400	261,500	266,800	255,200	256,200	317,700	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,106	0,985	0,975	0,000	20,020	-0,043	99,942	0,000	452,691	402,452	365,343	362,847	0,000	100,000	100,000	77,103	100,000	0,000	0,000	1,000	1,955	1,000	0,000	0,000	0,000	0,000	0,000	33,529
12.07.2023	09:57:31	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	242,900	248,600	205,300	245,200	24,900	25,100	25,400	22,600	167,900	26,600	268,000	300,000	261,900	300,000	264,800	264,300	268,000	265,900	270,400	261,500	266,800	255,200	256,300	317,700	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,127	0,985	0,975	0,000	20,020	-0,043	99,949	0,000	445,421	392,361	364,583	365,017	0,000	100,000	100,000	77,103	100,000	0,000	0,000	1,000	1,953	1,000	0,000	0,000	0,000	0,000	0,000	33,536
12.07.2023	09:57:32	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,400	25,800	242,800	248,500	200,900	245,500	24,900	25,100	25,400	22,600	167,900	26,600	268,000	300,000	261,900	300,000	264,800	264,300	268,000	265,900	270,400	261,500	266,800	255,200	256,200	317,700	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,103	0,985	0,975	0,000	20,092	-0,043	99,949	0,000	445,421	391,819	365,234	363,390	0,000	100,000	100,000	77,103	100,000	0,000	0,000	1,000	1,952	1,000	0,000	0,000	0,000	0,000	0,000	33,536
12.07.2023	09:57:33	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,400	25,800	242,400	248,400	200,700	245,300	24,900	25,100	25,400	22,600	167,900	26,600	268,000	300,000	261,900	300,000	264,800	264,500	268,000	265,900	270,500	261,600	266,800	255,200	256,200	317,600	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,121	0,985	0,975	0,000	20,001	-0,043	99,942	0,000	445,530	390,842	364,800	365,017	0,000	100,000	100,000	77,103	100,000	0,000	0,000	1,000	1,955	1,000	0,000	0,000	0,000	0,000	0,000	33,525
12.07.2023	09:57:34	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,400	25,800	242,500	248,600	199,700	245,200	24,900	25,100	25,400	22,600	167,900	26,600	268,000	300,000	261,900	300,000	264,800	264,300	268,000	265,900	270,500	261,500	266,800	255,200	256,200	317,600	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,111	0,985	0,975	0,000	20,074	-0,043	99,949	0,000	445,095	388,238	364,583	362,956	0,000	93,968	100,000	77,103	100,000	0,000	0,000	1,000	1,939	1,000	0,000	0,000	0,000	0,000	0,000	33,525
12.07.2023	09:57:35	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	242,800	249,400	199,600	245,200	24,900	25,100	25,400	22,600	167,900	26,600	268,000	300,000	261,900	300,000	264,700	264,500	268,000	265,900	270,600	261,600	266,800	255,200	256,200	317,700	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,122	0,985	0,975	0,000	20,038	-0,043	99,949	0,000	433,377	289,388	364,800	365,234	0,000	88,103	100,000	77,103	100,000	0,000	0,000	1,000	1,954	1,000	0,000	0,000	0,000	0,000	0,000	33,529
12.07.2023	09:57:36	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,000	249,100	201,600	245,000	24,900	25,100	25,400	22,600	167,900	26,600	268,000	300,000	261,900	300,000	264,700	264,500	268,000	265,900	270,500	261,600	266,800	255,200	256,200	317,700	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,122	0,985	0,975	0,000	20,001	-0,043	99,949	0,000	467,231	439,345	367,513	365,017	0,000	100,000	100,000	77,103	100,000	0,000	0,000	1,000	1,955	1,000	0,000	0,000	0,000	0,000	0,000	33,536
12.07.2023	09:57:37	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,100	248,700	202,600	245,200	24,900	25,100	25,400	22,600	167,900	26,600	268,000	300,000	261,900	300,000	264,700	264,500	268,000	265,900	270,400	261,600	266,800	255,200	256,200	317,700	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,113	0,985	0,975	0,000	20,001	-0,043	99,942	0,000	446,723	401,150	365,234	364,800	0,000	100,000	100,000	77,103	100,000	0,000	0,000	1,000	1,955	1,000	0,000	0,000	0,000	0,000	0,000	33,529
12.07.2023	09:57:38	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,200	249,300	207,900	245,600	24,900	25,100	25,400	22,600	167,900	26,600	268,000	300,000	261,900	300,000	264,700	264,300	268,100	265,900	270,300	261,500	266,800	255,200	256,300	317,700	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,113	0,985	0,975	0,000	19,929	-0,043	99,942	0,000	445,421	390,625	366,319	364,583	0,000	89,537	100,000	77,103	100,000	0,000	0,000	1,000	1,958	1,000	0,000	0,000	0,000	0,000	0,000	33,543
12.07.2023	09:57:40	23,000	23,400	23,100	23,300	23,800	26,300	91,800	22,500	25,800	243,200	249,900	210,200	245,300	24,900	25,100	25,400	22,600	167,900	26,600	268,000	300,000	261,800	300,000	264,700	264,500	268,100	265,900	270,300	261,600	266,800	255,200	256,200	317,600	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,097	0,985	0,975	0,000	20,020	-0,043	99,949	0,000	444,010	390,625	364,909	361,979	0,000	90,018	100,000	77,103	100,000	0,000	0,000	1,000	1,955	1,000	0,000	0,000	0,000	0,000	0,000	33,543
12.07.2023	09:57:41	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,300	250,300	211,500	245,200	24,900	25,100	25,400	22,600	167,900	26,600	268,000	300,000	261,800	300,000	264,700	264,500	268,100	265,900	270,400	261,700	266,800	255,200	256,200	317,500	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,119	0,985	0,975	0,000	20,038	-0,043	99,942	0,000	443,902	386,936	365,234	363,173	0,000	85,374	100,000	77,103	100,000	0,000	0,000	1,000	1,950	1,000	0,000	0,000	0,000	0,000	0,000	33,550
12.07.2023	09:57:42	23,000	23,400	23,100	23,300	23,800	26,300	91,700	22,500	25,800	243,300	250,400	208,000	245,100	24,900	25,100	25,400	22,600	167,900	26,600	268,000	300,000	261,800	300,000	264,700	264,300	268,100	265,900	270,600	261,500	266,800	255,200	256,300	317,500	310,600	450,000	24,700	25,100	24,300	23,900	23,700	23,500	23,300	23,600	1,114	0,985	0,975	0,000	20,074	-0,043	99,949	0,000	443,576	390,191	365,234	362,088	0,000	89,653	100,000	77,103	100,000	0,000	0,000	1,000	1,953	1,000	0,000	0,000	0,000	0,000	0,000	33,550
