***************************************************************************************
Start Datenerfassung am:	12.07.2023 10:49:24	Messzyklus: 30 Sekunden
Hochfördern und Aufschmelzen nach Versuch 7
Datum	Uhrzeit	T_C_BT101_FW	T_C_BT102_FW	T_C_BT103_FW	T_C_BT104_FW	T_C_BT105_FW	T_C_BT106_FW	T_C_BT107_Steam	T_C_BT108_Condensate	T_C_BT109_Condensate	T_C_BT201_PCM_Pool	T_C_BT202_Heating	T_C_BT203_PCM_Pool	T_C_BT204_Heating	T_C_BT205_PCM_ColdTank	T_C_BT206_PCM_ColdTank	T_C_BT207_PCM_ColdTank	T_C_BT208_ScrewConveyer	T_C_BT209_ScrewConveyer	T_C_BT210_ScrewConveyer	T_C_BT211_Heating	T_C_BT212_Heating	T_C_BT213_Heating	T_C_BT214_Heating	T_C_BT215_Heating	T_C_BT216_Heating	T_C_BT217_Heating	T_C_BT218_Heating	T_C_BT219_PCM_HotTank	T_C_BT220_PCM_HotTank	T_C_BT221_PCM_HotTank	T_C_BT222_PCM_Pipe	T_C_BT223_PCM_Pipe	T_C_BT224_TraceHeating	T_C_BT225_TraceHeating	T_C_BT226_TraceHeating	T_C_BT301_CW	T_C_BT302_CW	T_C_BT303_CW	T_C_BT304_CW	T_C_BT305_CW	T_C_BT306_CW	T_C_BT307_CW	T_C_BT308_CW	pbar_BP101	pbar_BP102	pbar_BP103	sw_BP401	m_dot_kg/h_BF101	m_dot_kg/h_BF102	x___BQ101	n_Rpm_MA101	P_W_EB202-1	P_W_EB202-2	P_W_EB202-3	P_W_EB202-4	EB102_output	EB201_1_output	EB201_2_output	EB203_output	QN102_output	QN201_output	QN301_output	QM101_sw	V_Control_FeedPump_GP101	GP101_sw	GP301_sw	GP302_sw	GL201_sw	PTC_BT110_Motor	PTC_BT227_SCMotor	F___BL201																	
12.07.2023	10:49:24	31,400	31,800	31,500	31,600	30,700	31,900	37,400	23,100	32,100	224,200	222,700	168,400	223,300	97,400	116,800	54,200	32,600	168,500	27,100	272,000	300,000	268,200	300,000	270,300	269,200	271,500	269,900	273,200	267,400	270,600	280,700	271,600	346,100	318,100	445,000	32,800	32,500	33,000	32,500	24,600	24,600	24,100	24,300	1,901	0,987	0,986	0,000	372,143	-0,043	69,860	0,000	424,154	298,828	365,668	364,258	0,000	0,000	0,000	90,560	0,000	0,000	0,000	1,000	5,000	1,000	1,000	0,000	1,000	0,000	0,000	35,174
12.07.2023	10:49:55	31,500	31,900	31,600	31,700	30,800	32,000	37,200	23,100	32,200	224,100	222,600	166,900	223,100	97,500	116,800	54,600	39,700	168,400	27,100	272,000	300,000	268,100	300,000	270,300	269,300	271,500	269,900	273,000	267,400	270,600	280,400	271,500	345,500	318,200	445,000	32,800	32,500	33,000	32,500	24,600	24,600	24,100	24,300	1,847	0,988	0,986	0,000	372,161	-0,043	69,860	0,000	427,409	343,641	365,234	363,824	0,000	0,000	0,000	90,541	0,000	0,000	0,000	1,000	5,000	1,000	1,000	0,000	1,000	0,000	0,000	35,185
12.07.2023	10:50:27	31,700	32,000	31,700	31,700	30,900	32,000	37,200	23,200	32,200	223,700	222,500	168,300	223,000	82,800	116,800	57,400	46,200	164,000	27,100	272,100	299,800	268,100	300,000	270,200	269,200	271,500	269,900	272,300	267,500	270,600	280,200	271,500	345,500	318,200	445,100	32,800	32,500	33,000	32,500	24,600	24,600	24,100	24,300	1,807	0,987	0,985	0,000	372,034	-0,043	69,860	0,000	624,566	378,472	364,909	365,017	0,000	0,000	0,000	81,051	0,000	0,000	0,000	1,000	5,000	1,000	1,000	0,000	1,000	0,000	0,000	35,279
12.07.2023	10:50:58	31,700	32,100	31,700	31,800	31,000	32,100	37,100	23,200	32,200	223,800	222,400	165,800	222,900	81,300	116,800	67,900	49,700	152,600	27,100	272,000	300,200	267,900	300,000	270,100	269,100	271,500	269,800	272,100	267,200	270,600	279,900	271,400	344,100	318,200	444,900	32,800	32,500	33,000	32,600	24,600	24,700	24,100	24,300	1,844	0,988	0,985	0,000	371,998	-0,043	69,860	0,000	380,317	342,339	365,234	364,800	0,000	0,000	0,000	92,455	0,000	0,000	0,000	1,000	5,000	1,000	1,000	0,000	1,000	0,000	0,000	35,362
12.07.2023	10:51:29	31,700	32,100	31,800	31,900	31,200	32,200	37,100	23,200	32,200	223,700	222,400	165,800	222,900	73,600	116,900	69,300	54,300	142,300	27,300	271,400	300,000	267,400	300,000	269,800	269,100	271,400	269,700	271,100	267,100	270,500	279,700	271,300	343,200	318,300	445,100	32,900	32,500	33,000	32,700	24,700	24,700	24,100	24,300	1,875	0,988	0,986	0,000	371,944	-0,043	69,860	0,000	488,607	355,794	366,645	364,366	0,000	0,000	0,000	87,508	0,000	0,000	0,000	1,000	5,000	1,000	1,000	0,000	1,000	0,000	0,000	35,395
12.07.2023	10:52:00	31,800	32,200	31,900	32,000	31,200	32,300	37,000	23,200	32,200	223,700	222,300	165,100	222,700	70,200	116,900	67,800	58,300	135,800	27,300	271,100	300,000	267,200	300,000	269,600	268,900	271,300	269,500	270,800	266,800	270,300	279,000	271,200	342,300	318,300	445,100	32,900	32,600	33,000	32,700	24,700	24,700	24,200	24,300	1,783	0,987	0,985	0,000	372,522	-0,043	69,860	0,000	489,692	371,636	365,234	364,692	0,000	0,000	0,000	75,397	0,000	0,000	0,000	1,000	5,000	1,000	1,000	0,000	1,000	0,000	0,000	35,471
12.07.2023	10:52:31	31,900	32,200	32,000	32,000	31,300	32,300	37,000	23,200	32,200	223,400	222,200	166,400	222,600	71,700	116,900	67,200	61,300	130,500	27,200	270,800	300,000	267,300	300,000	269,300	268,600	271,100	269,200	270,800	266,600	270,100	278,300	271,100	341,900	318,200	444,900	32,900	32,700	33,100	32,700	24,700	24,700	24,300	24,300	1,828	0,987	0,984	0,000	372,287	-0,043	69,860	0,000	489,366	370,768	365,668	365,017	0,000	0,000	0,000	88,612	0,000	0,000	0,000	1,000	5,000	1,000	1,000	0,000	1,000	0,000	0,000	35,518
12.07.2023	10:53:03	31,900	32,300	32,000	32,100	31,300	32,400	36,900	23,200	32,200	223,400	222,100	162,400	222,600	70,600	116,900	66,500	63,000	125,500	27,300	270,700	299,800	267,200	300,000	269,100	268,200	270,800	269,000	270,100	266,400	269,800	278,100	271,100	341,200	318,200	445,000	33,000	32,700	33,100	32,800	24,800	24,700	24,300	24,300	1,893	0,988	0,985	0,000	372,016	-0,043	69,860	0,000	632,487	386,068	366,211	364,800	0,000	0,000	0,000	85,216	0,000	0,000	0,000	1,000	5,000	1,000	1,000	0,000	1,000	0,000	0,000	35,547
12.07.2023	10:53:34	32,000	32,300	32,000	32,100	31,400	32,400	36,800	23,200	32,300	223,300	222,100	168,000	222,500	69,400	116,900	66,900	64,900	121,500	27,300	270,600	300,000	266,700	300,000	268,900	268,000	270,600	268,800	269,600	266,200	269,600	277,900	270,900	340,600	318,300	445,100	33,100	32,800	33,100	32,800	24,800	24,700	24,300	24,400	1,853	0,988	0,985	0,000	372,432	-0,043	69,860	0,000	534,831	400,282	365,343	365,017	0,000	0,000	0,000	82,314	0,000	0,000	0,000	1,000	5,000	1,000	1,000	0,000	1,000	0,000	0,000	35,594
12.07.2023	10:54:05	32,000	32,300	32,100	32,200	31,400	32,500	36,800	23,200	32,300	222,900	222,100	167,500	222,500	66,700	116,900	66,900	66,700	118,700	27,200	270,200	300,100	266,700	300,200	268,600	267,700	270,500	268,500	268,700	265,900	269,300	277,900	270,800	339,800	318,200	445,000	33,000	32,800	33,200	32,800	24,800	24,700	24,300	24,400	1,854	0,987	0,986	0,000	372,595	-0,043	69,860	0,000	491,970	336,697	364,909	365,668	0,000	0,000	0,000	83,429	0,000	0,000	0,000	1,000	5,000	1,000	1,000	0,000	1,000	0,000	0,000	35,605
