#EXPORTTYPE:                 ;ALL                                                                                                                        
#FILE:                       ;2023-07-03_NaNO3KNO3_ALassII_Hanke_100-300›C_10Kxmin-1_2Zyklen_N2-20-20_Al-pierced.ngb-sd7                                 
#FORMAT:                     ;NETZSCH5                                                                                                                   
#FTYPE:                      ;ASCII                                                                                                                      
#IDENTITY:                   ;2023-07-03                                                                                                                 
#DECIMAL:                    ;COMMA                                                                                                                      
#SEPARATOR:                  ;SEMICOLON                                                                                                                  
#MTYPE:                      ;DSC                                                                                                                        
#INSTRUMENT:                 ;NETZSCH DSC 204F1 Phoenix                                                                                                  
#PROJECT:                    ;                                                                                                                           
#DATE/TIME:                  ;03.07.2023 15:11:31 (UTC+2)                                                                                                
#CORR. FILE:                 ;                                                                                                                           
#TEMPCAL:                    ;26-04-2022 07:47                                                                                                           
#SENSITIVITY:                ;26-04-2022 07:40                                                                                                           
#LABORATORY:                 ;H221                                                                                                                       
#OPERATOR:                   ;AH                                                                                                                         
#REMARK:                     ;Teststand: ALass II / 03.07.2023 Jonas Tombrink / Probe nach Erstbe?llung / 50:50 mol% NaNO3:KNO3 / 45,7:54,3 wt% NaNO3:NO3
#SAMPLE:                     ;NaNO3KNO3                                                                                                                  
#SAMPLE MASS /mg:            ;10,719                                                                                                                     
#MATERIAL:                   ;NaNO3KNO3                                                                                                                  
#REFERENCE:                  ;-----                                                                                                                      
#REFERENCE MASS /mg:         ;0                                                                                                                          
#TYPE OF CRUCIBLE:           ;Standard Al 25 ‘l, pierced lid                                                                                             
#SAMPLE CRUCIBLE MASS /mg:   ;39,961                                                                                                                     
#REFERENCE CRUCIBLE MASS /mg:;39,497                                                                                                                     
#PURGE 2 MFC:                ;NITROGEN,250,0 ml/min                                                                                                      
#PROTECTIVE MFC:             ;NITROGEN,250,0 ml/min                                                                                                      
#M.RANGE /‘V:                ;5000                                                                                                                       
#TAU-R:                      ;---                                                                                                                        
#CORR. CODE:                 ;000                                                                                                                        
#EXO:                        ;-1                                                                                                                         
#RANGE:                      ;25›C....300›C/-10,0....10,0K/min                                                                                           
#SEGMENT:                    ;S1-4/4                                                                                                                     
#SEG. 1:                     ;25›C/10,0(K/min)/300›C                                                                                                     
#SEG. 2:                     ;300›C/10,0(K/min)/25›C                                                                                                     
#SEG. 3:                     ;25›C/10,0(K/min)/300›C                                                                                                     
#SEG. 4:                     ;300›C/10,0(K/min)/25›C                                                                                                     

#*RESULTS:;File;Segment;Result;Unit;Y_value;Unit;Range_Xmin;Unit;Range_Xmax;Unit;Range_Ymin;Unit;Range_Ymax;Unit

##Temp./›C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 24,81900;  0,00000; 2,233418e-02;22,00000;21,00000;3,86535;1
 24,81867;  0,00167; 2,233418e-02;22,00000;21,00000;3,86535;1
 24,81840;  0,00333; 2,233406e-02;22,00000;21,00000;3,86535;1
 24,81857;  0,00500; 2,231576e-02;22,00000;22,00000;3,86535;1
 24,81878;  0,00667; 2,229713e-02;22,00000;22,00000;3,86535;1
 24,81891;  0,00833; 2,227894e-02;22,00000;22,00000;3,86535;1
 24,81908;  0,01000; 2,227894e-02;22,00000;22,00000;3,86535;1
 24,81920;  0,01167; 2,226053e-02;22,00000;21,00000;3,86535;1
 24,81929;  0,01333; 2,227906e-02;22,00000;21,00000;3,86535;1
 24,81942;  0,01500; 2,227906e-02;22,00000;22,00000;3,86535;1
 24,81957;  0,01667; 2,229736e-02;22,00000;21,00000;3,86535;1
 24,81987;  0,01833; 2,231590e-02;22,00000;22,00000;3,86535;1
 24,82012;  0,02000; 2,231590e-02;22,00000;22,00000;3,86535;1
 24,82056;  0,02167; 2,233432e-02;22,00000;22,00000;3,86535;1
 24,82121;  0,02333; 2,235274e-02;22,00000;22,00000;3,86534;1
 24,82223;  0,02500; 2,235276e-02;22,00000;21,00000;3,86534;1
 24,82361;  0,02667; 2,237119e-02;22,00000;21,00000;3,86534;1
 24,82549;  0,02833; 2,238964e-02;22,00000;22,00000;3,86533;1
 24,82792;  0,03000; 2,240820e-02;23,00000;21,00000;3,86533;1
 24,83095;  0,03167; 2,242655e-02;22,00000;22,00000;3,86532;1
 24,83468;  0,03333; 2,242683e-02;22,00000;22,00000;3,86531;1
 24,83923;  0,03500; 2,244543e-02;22,00000;22,00000;3,86530;1
 24,84458;  0,03667; 2,244551e-02;22,00000;22,00000;3,86528;1
 24,85081;  0,03833; 2,246402e-02;22,00000;21,00000;3,86527;1
 24,85786;  0,04000; 2,248254e-02;22,00000;21,00000;3,86525;1
 24,86575;  0,04167; 2,251971e-02;22,00000;22,00000;3,86523;1
 24,87451;  0,04333; 2,255690e-02;22,00000;21,00000;3,86521;1
 24,88413;  0,04500; 2,257569e-02;22,00000;22,00000;3,86518;1
 24,89456;  0,04667; 2,259449e-02;22,00000;22,00000;3,86515;1
 24,90578;  0,04833; 2,259512e-02;22,00000;22,00000;3,86512;1
 24,91769;  0,05000; 2,259575e-02;22,00000;22,00000;3,86509;1
 24,93030;  0,05167; 2,257798e-02;22,00000;22,00000;3,86506;1
 24,94357;  0,05333; 2,248656e-02;22,00000;21,00000;3,86503;1
 24,95737;  0,05500; 2,219280e-02;22,00000;22,00000;3,86499;1
 24,97171;  0,05667; 2,189916e-02;22,00000;22,00000;3,86495;1
 24,98649;  0,05833; 2,158710e-02;22,00000;22,00000;3,86491;1
